locus_idx,locus_mean_af,soup_contribution,alpha
107,0.20000000,0.00252395,0.01261973
108,0.50000000,0.00630987,0.01261973
109,0.33333333,0.00420658,0.01261973
110,0.33333333,0.00420658,0.01261973
111,1.00000000,0.01261973,0.01261973
112,0.33333333,0.00420658,0.01261973
113,1.00000000,0.01261973,0.01261973
114,0.00000000,0.00000000,0.01261973
115,0.25000000,0.00315493,0.01261973
116,0.26666667,0.00336526,0.01261973
117,0.06250000,0.00078873,0.01261973
118,0.14285714,0.00180282,0.01261973
119,0.28571429,0.00360564,0.01261973
120,0.00000000,0.00000000,0.01261973
121,0.20000000,0.00252395,0.01261973
122,0.50000000,0.00630987,0.01261973
123,0.33333333,0.00420658,0.01261973
124,0.33333333,0.00420658,0.01261973
125,0.50000000,0.00630987,0.01261973
126,0.19354839,0.00244253,0.01261973
127,0.06451613,0.00081418,0.01261973
128,0.07692308,0.00097075,0.01261973
129,0.07692308,0.00097075,0.01261973
130,0.50000000,0.00630987,0.01261973
131,0.50000000,0.00630987,0.01261973
132,0.16666667,0.00210329,0.01261973
133,0.16666667,0.00210329,0.01261973
134,0.25000000,0.00315493,0.01261973
135,0.16666667,0.00210329,0.01261973
136,0.16666667,0.00210329,0.01261973
137,0.42857143,0.00540846,0.01261973
138,1.00000000,0.01261973,0.01261973
139,0.00000000,0.00000000,0.01261973
140,0.00000000,0.00000000,0.01261973
141,0.00000000,0.00000000,0.01261973
142,0.33333333,0.00420658,0.01261973
143,0.00000000,0.00000000,0.01261973
144,0.05263158,0.00066420,0.01261973
145,0.86363636,0.01089886,0.01261973
146,0.11833333,0.00149334,0.01261973
147,0.12500000,0.00157747,0.01261973
148,0.11111111,0.00140219,0.01261973
149,1.00000000,0.01261973,0.01261973
150,0.00000000,0.00000000,0.01261973
151,0.00000000,0.00000000,0.01261973
152,0.14285714,0.00180282,0.01261973
153,0.25000000,0.00315493,0.01261973
154,0.57142857,0.00721128,0.01261973
155,0.20000000,0.00252395,0.01261973
156,0.07142857,0.00090141,0.01261973
157,0.14285714,0.00180282,0.01261973
158,0.50000000,0.00630987,0.01261973
159,0.09090909,0.00114725,0.01261973
160,0.12500000,0.00157747,0.01261973
161,0.14285714,0.00180282,0.01261973
162,0.18181818,0.00229450,0.01261973
163,0.18181818,0.00229450,0.01261973
164,0.40000000,0.00504789,0.01261973
165,1.00000000,0.01261973,0.01261973
166,0.41379310,0.00522196,0.01261973
167,0.06250000,0.00078873,0.01261973
168,0.00000000,0.00000000,0.01261973
169,0.00000000,0.00000000,0.01261973
170,0.10000000,0.00126197,0.01261973
171,0.25000000,0.00315493,0.01261973
172,0.50000000,0.00630987,0.01261973
173,0.00000000,0.00000000,0.01261973
174,0.33333333,0.00420658,0.01261973
175,1.00000000,0.01261973,0.01261973
176,1.00000000,0.01261973,0.01261973
177,0.00000000,0.00000000,0.01261973
178,0.20000000,0.00252395,0.01261973
179,1.00000000,0.01261973,0.01261973
180,0.09090909,0.00114725,0.01261973
181,0.41666667,0.00525822,0.01261973
182,0.00000000,0.00000000,0.01261973
183,0.50000000,0.00630987,0.01261973
184,0.22222222,0.00280439,0.01261973
185,0.33333333,0.00420658,0.01261973
186,0.00000000,0.00000000,0.01261973
187,0.41411043,0.00522596,0.01261973
188,0.00000000,0.00000000,0.01261973
189,0.16666667,0.00210329,0.01261973
190,0.00000000,0.00000000,0.01261973
191,0.00000000,0.00000000,0.01261973
192,0.00000000,0.00000000,0.01261973
193,1.00000000,0.01261973,0.01261973
194,0.50000000,0.00630987,0.01261973
195,0.50000000,0.00630987,0.01261973
196,0.08000000,0.00100958,0.01261973
197,0.16666667,0.00210329,0.01261973
198,1.00000000,0.01261973,0.01261973
199,0.33333333,0.00420658,0.01261973
200,0.19444444,0.00245384,0.01261973
201,0.05882353,0.00074234,0.01261973
202,0.58333333,0.00736151,0.01261973
203,0.00000000,0.00000000,0.01261973
204,0.00000000,0.00000000,0.01261973
205,0.00000000,0.00000000,0.01261973
206,1.00000000,0.01261973,0.01261973
207,1.00000000,0.01261973,0.01261973
208,0.00000000,0.00000000,0.01261973
209,0.00000000,0.00000000,0.01261973
210,0.25000000,0.00315493,0.01261973
211,0.25000000,0.00315493,0.01261973
212,0.00000000,0.00000000,0.01261973
213,0.20000000,0.00252395,0.01261973
214,0.40000000,0.00504789,0.01261973
215,0.57142857,0.00721128,0.01261973
216,0.10714286,0.00135211,0.01261973
217,0.50000000,0.00630987,0.01261973
218,0.14285714,0.00180282,0.01261973
219,0.00000000,0.00000000,0.01261973
220,0.00000000,0.00000000,0.01261973
221,0.33333333,0.00420658,0.01261973
222,0.33333333,0.00420658,0.01261973
223,0.15000000,0.00189296,0.01261973
224,0.05555556,0.00070110,0.01261973
225,0.50000000,0.00630987,0.01261973
226,0.25000000,0.00315493,0.01261973
227,0.00000000,0.00000000,0.01261973
228,0.00000000,0.00000000,0.01261973
229,0.00000000,0.00000000,0.01261973
230,0.00000000,0.00000000,0.01261973
231,0.25000000,0.00315493,0.01261973
232,0.25000000,0.00315493,0.01261973
233,0.25000000,0.00315493,0.01261973
234,0.25000000,0.00315493,0.01261973
235,0.25000000,0.00315493,0.01261973
236,0.25000000,0.00315493,0.01261973
237,0.10000000,0.00126197,0.01261973
238,0.20000000,0.00252395,0.01261973
239,0.66666667,0.00841316,0.01261973
240,0.16666667,0.00210329,0.01261973
241,0.00000000,0.00000000,0.01261973
242,0.16666667,0.00210329,0.01261973
243,0.16666667,0.00210329,0.01261973
244,0.00000000,0.00000000,0.01261973
245,0.70731707,0.00892615,0.01261973
246,0.74468085,0.00939767,0.01261973
247,0.63461538,0.00800868,0.01261973
248,0.15000000,0.00189296,0.01261973
249,0.00000000,0.00000000,0.01261973
250,0.10000000,0.00126197,0.01261973
251,0.00000000,0.00000000,0.01261973
252,1.00000000,0.01261973,0.01261973
253,0.12500000,0.00157747,0.01261973
254,1.00000000,0.01261973,0.01261973
255,0.16666667,0.00210329,0.01261973
256,1.00000000,0.01261973,0.01261973
257,1.00000000,0.01261973,0.01261973
258,1.00000000,0.01261973,0.01261973
259,0.10000000,0.00126197,0.01261973
260,0.20000000,0.00252395,0.01261973
261,0.50000000,0.00630987,0.01261973
262,0.12500000,0.00157747,0.01261973
263,0.12500000,0.00157747,0.01261973
264,0.11111111,0.00140219,0.01261973
265,0.10000000,0.00126197,0.01261973
266,0.10000000,0.00126197,0.01261973
267,0.30000000,0.00378592,0.01261973
268,0.00000000,0.00000000,0.01261973
269,0.25000000,0.00315493,0.01261973
270,1.00000000,0.01261973,0.01261973
271,0.50000000,0.00630987,0.01261973
272,0.50000000,0.00630987,0.01261973
273,0.50000000,0.00630987,0.01261973
274,0.00000000,0.00000000,0.01261973
275,0.00000000,0.00000000,0.01261973
276,0.00000000,0.00000000,0.01261973
277,0.02564103,0.00032358,0.01261973
278,0.16666667,0.00210329,0.01261973
279,0.40000000,0.00504789,0.01261973
280,0.11111111,0.00140219,0.01261973
281,0.35000000,0.00441691,0.01261973
282,0.09090909,0.00114725,0.01261973
283,0.71428571,0.00901409,0.01261973
284,0.25000000,0.00315493,0.01261973
285,1.00000000,0.01261973,0.01261973
286,0.50000000,0.00630987,0.01261973
287,1.00000000,0.01261973,0.01261973
288,0.25000000,0.00315493,0.01261973
289,0.00000000,0.00000000,0.01261973
290,0.50000000,0.00630987,0.01261973
291,0.25000000,0.00315493,0.01261973
292,0.25000000,0.00315493,0.01261973
293,1.00000000,0.01261973,0.01261973
294,0.50000000,0.00630987,0.01261973
295,0.14285714,0.00180282,0.01261973
296,0.50000000,0.00630987,0.01261973
297,0.50000000,0.00630987,0.01261973
298,1.00000000,0.01261973,0.01261973
299,1.00000000,0.01261973,0.01261973
300,1.00000000,0.01261973,0.01261973
301,0.33333333,0.00420658,0.01261973
302,0.33333333,0.00420658,0.01261973
303,0.50000000,0.00630987,0.01261973
304,0.50000000,0.00630987,0.01261973
305,0.60000000,0.00757184,0.01261973
306,0.00000000,0.00000000,0.01261973
307,0.00000000,0.00000000,0.01261973
308,0.00000000,0.00000000,0.01261973
309,0.50000000,0.00630987,0.01261973
310,0.00000000,0.00000000,0.01261973
311,0.00000000,0.00000000,0.01261973
312,1.00000000,0.01261973,0.01261973
313,0.00000000,0.00000000,0.01261973
314,1.00000000,0.01261973,0.01261973
315,1.00000000,0.01261973,0.01261973
316,0.00000000,0.00000000,0.01261973
317,0.00000000,0.00000000,0.01261973
318,0.00000000,0.00000000,0.01261973
319,0.00000000,0.00000000,0.01261973
320,0.83333333,0.01051644,0.01261973
321,0.16666667,0.00210329,0.01261973
322,0.11111111,0.00140219,0.01261973
323,0.62500000,0.00788733,0.01261973
324,1.00000000,0.01261973,0.01261973
325,0.20000000,0.00252395,0.01261973
326,0.00000000,0.00000000,0.01261973
327,0.25000000,0.00315493,0.01261973
328,0.20000000,0.00252395,0.01261973
329,0.20000000,0.00252395,0.01261973
330,0.60000000,0.00757184,0.01261973
331,0.20000000,0.00252395,0.01261973
332,0.40000000,0.00504789,0.01261973
333,0.20000000,0.00252395,0.01261973
334,0.14516129,0.00183190,0.01261973
335,0.08823529,0.00111351,0.01261973
336,0.13440860,0.00169620,0.01261973
337,0.12365591,0.00156050,0.01261973
338,0.20212766,0.00255080,0.01261973
339,0.46250000,0.00583663,0.01261973
340,0.50000000,0.00630987,0.01261973
341,0.16666667,0.00210329,0.01261973
342,0.16666667,0.00210329,0.01261973
343,1.00000000,0.01261973,0.01261973
344,0.50000000,0.00630987,0.01261973
345,0.25000000,0.00315493,0.01261973
346,0.36363636,0.00458899,0.01261973
347,0.00000000,0.00000000,0.01261973
348,0.00000000,0.00000000,0.01261973
349,0.00000000,0.00000000,0.01261973
350,0.00000000,0.00000000,0.01261973
351,0.00000000,0.00000000,0.01261973
352,0.00000000,0.00000000,0.01261973
353,0.50000000,0.00630987,0.01261973
354,0.50000000,0.00630987,0.01261973
355,0.03333333,0.00042066,0.01261973
356,0.12500000,0.00157747,0.01261973
357,0.50000000,0.00630987,0.01261973
358,0.50000000,0.00630987,0.01261973
359,0.00000000,0.00000000,0.01261973
360,0.25000000,0.00315493,0.01261973
361,0.25000000,0.00315493,0.01261973
362,0.06250000,0.00078873,0.01261973
363,0.20000000,0.00252395,0.01261973
364,0.50000000,0.00630987,0.01261973
365,0.13333333,0.00168263,0.01261973
366,0.10344828,0.00130549,0.01261973
367,0.76562500,0.00966198,0.01261973
368,0.25000000,0.00315493,0.01261973
369,0.25000000,0.00315493,0.01261973
370,0.25000000,0.00315493,0.01261973
371,0.50000000,0.00630987,0.01261973
372,0.00000000,0.00000000,0.01261973
373,0.00000000,0.00000000,0.01261973
374,0.20000000,0.00252395,0.01261973
375,0.16666667,0.00210329,0.01261973
376,0.16666667,0.00210329,0.01261973
377,0.16666667,0.00210329,0.01261973
378,0.25000000,0.00315493,0.01261973
379,0.25000000,0.00315493,0.01261973
380,0.25000000,0.00315493,0.01261973
381,0.25000000,0.00315493,0.01261973
382,0.25000000,0.00315493,0.01261973
383,0.33333333,0.00420658,0.01261973
384,0.18181818,0.00229450,0.01261973
385,0.20000000,0.00252395,0.01261973
386,0.20000000,0.00252395,0.01261973
387,1.00000000,0.01261973,0.01261973
388,1.00000000,0.01261973,0.01261973
389,0.75000000,0.00946480,0.01261973
390,0.75000000,0.00946480,0.01261973
391,1.00000000,0.01261973,0.01261973
392,0.25000000,0.00315493,0.01261973
393,0.00000000,0.00000000,0.01261973
394,0.00000000,0.00000000,0.01261973
395,0.00000000,0.00000000,0.01261973
396,0.00000000,0.00000000,0.01261973
397,0.00000000,0.00000000,0.01261973
398,0.25000000,0.00315493,0.01261973
399,0.20000000,0.00252395,0.01261973
400,0.20000000,0.00252395,0.01261973
401,0.14285714,0.00180282,0.01261973
402,0.14285714,0.00180282,0.01261973
403,0.12500000,0.00157747,0.01261973
404,0.40000000,0.00504789,0.01261973
405,0.00000000,0.00000000,0.01261973
406,1.00000000,0.01261973,0.01261973
407,0.00000000,0.00000000,0.01261973
408,0.58333333,0.00736151,0.01261973
409,0.02500000,0.00031549,0.01261973
410,0.00000000,0.00000000,0.01261973
411,0.05000000,0.00063099,0.01261973
412,0.50000000,0.00630987,0.01261973
413,0.50000000,0.00630987,0.01261973
414,1.00000000,0.01261973,0.01261973
415,1.00000000,0.01261973,0.01261973
416,0.00000000,0.00000000,0.01261973
417,0.00000000,0.00000000,0.01261973
418,0.90909091,0.01147248,0.01261973
419,0.00000000,0.00000000,0.01261973
420,0.00000000,0.00000000,0.01261973
421,0.25000000,0.00315493,0.01261973
422,0.25000000,0.00315493,0.01261973
423,0.33333333,0.00420658,0.01261973
424,1.00000000,0.01261973,0.01261973
425,0.00000000,0.00000000,0.01261973
426,1.00000000,0.01261973,0.01261973
427,0.00000000,0.00000000,0.01261973
428,0.33333333,0.00420658,0.01261973
429,0.50000000,0.00630987,0.01261973
430,0.16666667,0.00210329,0.01261973
431,0.14285714,0.00180282,0.01261973
432,1.00000000,0.01261973,0.01261973
433,0.09090909,0.00114725,0.01261973
434,0.33333333,0.00420658,0.01261973
435,0.27272727,0.00344175,0.01261973
436,0.00000000,0.00000000,0.01261973
437,0.00000000,0.00000000,0.01261973
438,0.00000000,0.00000000,0.01261973
439,0.10000000,0.00126197,0.01261973
440,0.10000000,0.00126197,0.01261973
441,0.11111111,0.00140219,0.01261973
442,0.06666667,0.00084132,0.01261973
443,1.00000000,0.01261973,0.01261973
444,0.50000000,0.00630987,0.01261973
445,0.33333333,0.00420658,0.01261973
446,0.00000000,0.00000000,0.01261973
447,0.33333333,0.00420658,0.01261973
448,0.50000000,0.00630987,0.01261973
449,0.50000000,0.00630987,0.01261973
450,0.00000000,0.00000000,0.01261973
451,0.08035714,0.00101409,0.01261973
452,0.20000000,0.00252395,0.01261973
453,1.00000000,0.01261973,0.01261973
454,1.00000000,0.01261973,0.01261973
455,0.25000000,0.00315493,0.01261973
456,0.44444444,0.00560877,0.01261973
457,0.33333333,0.00420658,0.01261973
458,0.00000000,0.00000000,0.01261973
459,0.57142857,0.00721128,0.01261973
460,0.33333333,0.00420658,0.01261973
461,0.20000000,0.00252395,0.01261973
462,0.20000000,0.00252395,0.01261973
463,0.50000000,0.00630987,0.01261973
464,0.33333333,0.00420658,0.01261973
465,0.33333333,0.00420658,0.01261973
466,1.00000000,0.01261973,0.01261973
467,0.50000000,0.00630987,0.01261973
468,0.00000000,0.00000000,0.01261973
469,0.20000000,0.00252395,0.01261973
470,0.20000000,0.00252395,0.01261973
471,1.00000000,0.01261973,0.01261973
472,0.42857143,0.00540846,0.01261973
473,0.00000000,0.00000000,0.01261973
474,0.33333333,0.00420658,0.01261973
475,0.00000000,0.00000000,0.01261973
476,0.16000000,0.00201916,0.01261973
477,0.00000000,0.00000000,0.01261973
478,0.83333333,0.01051644,0.01261973
479,0.83333333,0.01051644,0.01261973
480,0.00000000,0.00000000,0.01261973
481,0.00000000,0.00000000,0.01261973
482,0.00000000,0.00000000,0.01261973
483,1.00000000,0.01261973,0.01261973
484,0.00000000,0.00000000,0.01261973
485,0.00000000,0.00000000,0.01261973
486,0.00000000,0.00000000,0.01261973
487,0.00000000,0.00000000,0.01261973
488,0.00000000,0.00000000,0.01261973
489,0.00000000,0.00000000,0.01261973
490,0.08333333,0.00105164,0.01261973
491,0.50000000,0.00630987,0.01261973
492,0.62500000,0.00788733,0.01261973
493,0.25000000,0.00315493,0.01261973
494,0.00000000,0.00000000,0.01261973
495,0.00000000,0.00000000,0.01261973
496,0.50000000,0.00630987,0.01261973
497,0.09677419,0.00122126,0.01261973
498,0.16935484,0.00213721,0.01261973
499,0.14150943,0.00178581,0.01261973
500,0.16666667,0.00210329,0.01261973
501,0.00000000,0.00000000,0.01261973
502,0.50000000,0.00630987,0.01261973
503,0.00000000,0.00000000,0.01261973
504,0.48556999,0.00612776,0.01261973
505,0.32513661,0.00410314,0.01261973
506,0.31618656,0.00399019,0.01261973
507,0.99418605,0.01254636,0.01261973
508,0.00000000,0.00000000,0.01261973
509,1.00000000,0.01261973,0.01261973
510,0.33333333,0.00420658,0.01261973
511,0.33333333,0.00420658,0.01261973
512,0.33333333,0.00420658,0.01261973
513,0.33333333,0.00420658,0.01261973
514,0.00000000,0.00000000,0.01261973
515,0.28571429,0.00360564,0.01261973
516,0.44444444,0.00560877,0.01261973
517,0.77777778,0.00981535,0.01261973
518,0.10000000,0.00126197,0.01261973
519,0.12500000,0.00157747,0.01261973
520,0.33333333,0.00420658,0.01261973
521,0.41666667,0.00525822,0.01261973
522,0.40000000,0.00504789,0.01261973
523,0.07142857,0.00090141,0.01261973
524,0.42857143,0.00540846,0.01261973
525,0.33333333,0.00420658,0.01261973
526,0.20000000,0.00252395,0.01261973
527,0.16666667,0.00210329,0.01261973
528,0.60000000,0.00757184,0.01261973
529,0.08333333,0.00105164,0.01261973
530,0.00000000,0.00000000,0.01261973
531,0.05555556,0.00070110,0.01261973
532,1.00000000,0.01261973,0.01261973
533,0.16666667,0.00210329,0.01261973
534,0.05357143,0.00067606,0.01261973
535,0.33333333,0.00420658,0.01261973
536,0.33333333,0.00420658,0.01261973
537,0.00000000,0.00000000,0.01261973
538,0.25000000,0.00315493,0.01261973
539,0.20000000,0.00252395,0.01261973
540,0.27272727,0.00344175,0.01261973
541,0.10000000,0.00126197,0.01261973
542,0.10000000,0.00126197,0.01261973
543,0.00000000,0.00000000,0.01261973
544,0.13333333,0.00168263,0.01261973
545,0.12500000,0.00157747,0.01261973
546,0.18750000,0.00236620,0.01261973
547,0.10000000,0.00126197,0.01261973
548,0.00000000,0.00000000,0.01261973
549,0.00000000,0.00000000,0.01261973
550,0.12500000,0.00157747,0.01261973
551,0.00000000,0.00000000,0.01261973
552,1.00000000,0.01261973,0.01261973
553,1.00000000,0.01261973,0.01261973
554,0.00000000,0.00000000,0.01261973
555,0.25000000,0.00315493,0.01261973
556,0.40000000,0.00504789,0.01261973
557,0.20000000,0.00252395,0.01261973
558,0.25000000,0.00315493,0.01261973
559,0.14285714,0.00180282,0.01261973
560,0.28571429,0.00360564,0.01261973
561,0.20000000,0.00252395,0.01261973
562,0.00000000,0.00000000,0.01261973
563,0.16666667,0.00210329,0.01261973
564,0.16666667,0.00210329,0.01261973
565,0.16666667,0.00210329,0.01261973
566,0.00000000,0.00000000,0.01261973
567,0.00000000,0.00000000,0.01261973
568,0.00000000,0.00000000,0.01261973
569,0.14285714,0.00180282,0.01261973
570,0.00000000,0.00000000,0.01261973
571,0.03846154,0.00048537,0.01261973
572,0.00000000,0.00000000,0.01261973
573,0.06666667,0.00084132,0.01261973
574,1.00000000,0.01261973,0.01261973
575,0.33333333,0.00420658,0.01261973
576,0.66666667,0.00841316,0.01261973
577,0.09090909,0.00114725,0.01261973
578,0.66666667,0.00841316,0.01261973
579,0.20000000,0.00252395,0.01261973
580,0.40000000,0.00504789,0.01261973
581,0.50000000,0.00630987,0.01261973
582,0.00000000,0.00000000,0.01261973
583,0.00000000,0.00000000,0.01261973
584,0.11111111,0.00140219,0.01261973
585,0.10000000,0.00126197,0.01261973
586,0.25000000,0.00315493,0.01261973
587,0.07692308,0.00097075,0.01261973
588,0.12820513,0.00161791,0.01261973
589,0.17391304,0.00219474,0.01261973
590,0.00000000,0.00000000,0.01261973
591,0.33333333,0.00420658,0.01261973
592,0.25000000,0.00315493,0.01261973
593,0.33333333,0.00420658,0.01261973
594,0.33333333,0.00420658,0.01261973
595,0.07142857,0.00090141,0.01261973
596,0.18181818,0.00229450,0.01261973
597,0.18181818,0.00229450,0.01261973
598,0.10000000,0.00126197,0.01261973
599,0.00000000,0.00000000,0.01261973
600,0.20000000,0.00252395,0.01261973
601,0.25000000,0.00315493,0.01261973
602,0.66666667,0.00841316,0.01261973
603,0.00000000,0.00000000,0.01261973
604,0.50000000,0.00630987,0.01261973
605,0.27272727,0.00344175,0.01261973
606,0.05555556,0.00070110,0.01261973
607,0.09090909,0.00114725,0.01261973
608,0.00000000,0.00000000,0.01261973
609,0.50000000,0.00630987,0.01261973
610,0.66666667,0.00841316,0.01261973
611,0.50000000,0.00630987,0.01261973
612,0.00000000,0.00000000,0.01261973
613,0.50000000,0.00630987,0.01261973
614,0.00000000,0.00000000,0.01261973
615,0.50000000,0.00630987,0.01261973
616,1.00000000,0.01261973,0.01261973
617,0.00000000,0.00000000,0.01261973
618,0.50000000,0.00630987,0.01261973
619,0.00000000,0.00000000,0.01261973
620,0.50000000,0.00630987,0.01261973
621,0.16071429,0.00202817,0.01261973
622,0.24000000,0.00302874,0.01261973
623,0.02564103,0.00032358,0.01261973
624,0.40000000,0.00504789,0.01261973
625,0.20000000,0.00252395,0.01261973
626,0.20000000,0.00252395,0.01261973
627,0.14285714,0.00180282,0.01261973
628,0.14285714,0.00180282,0.01261973
629,0.50000000,0.00630987,0.01261973
630,0.00000000,0.00000000,0.01261973
631,1.00000000,0.01261973,0.01261973
632,0.71428571,0.00901409,0.01261973
633,0.50000000,0.00630987,0.01261973
634,0.16666667,0.00210329,0.01261973
635,0.28571429,0.00360564,0.01261973
636,0.00000000,0.00000000,0.01261973
637,0.00000000,0.00000000,0.01261973
638,0.25000000,0.00315493,0.01261973
639,0.25000000,0.00315493,0.01261973
640,0.25000000,0.00315493,0.01261973
641,0.16666667,0.00210329,0.01261973
642,0.16666667,0.00210329,0.01261973
643,0.33333333,0.00420658,0.01261973
644,1.00000000,0.01261973,0.01261973
645,0.40000000,0.00504789,0.01261973
646,0.00000000,0.00000000,0.01261973
647,0.00000000,0.00000000,0.01261973
648,0.33333333,0.00420658,0.01261973
649,1.00000000,0.01261973,0.01261973
650,0.25000000,0.00315493,0.01261973
651,0.33333333,0.00420658,0.01261973
652,0.33333333,0.00420658,0.01261973
653,0.00000000,0.00000000,0.01261973
654,0.00000000,0.00000000,0.01261973
655,0.00000000,0.00000000,0.01261973
656,0.00000000,0.00000000,0.01261973
657,0.75000000,0.00946480,0.01261973
658,0.50000000,0.00630987,0.01261973
659,0.10000000,0.00126197,0.01261973
660,0.08333333,0.00105164,0.01261973
661,0.00000000,0.00000000,0.01261973
662,1.00000000,0.01261973,0.01261973
663,1.00000000,0.01261973,0.01261973
664,1.00000000,0.01261973,0.01261973
665,0.14634146,0.00184679,0.01261973
666,0.64814815,0.00817946,0.01261973
667,1.00000000,0.01261973,0.01261973
668,1.00000000,0.01261973,0.01261973
669,0.78947368,0.00996295,0.01261973
670,1.00000000,0.01261973,0.01261973
671,1.00000000,0.01261973,0.01261973
672,0.12820513,0.00161791,0.01261973
673,1.00000000,0.01261973,0.01261973
674,0.16666667,0.00210329,0.01261973
675,0.14285714,0.00180282,0.01261973
676,1.00000000,0.01261973,0.01261973
677,0.00000000,0.00000000,0.01261973
678,0.20000000,0.00252395,0.01261973
679,0.83333333,0.01051644,0.01261973
680,0.33333333,0.00420658,0.01261973
681,1.00000000,0.01261973,0.01261973
682,0.00000000,0.00000000,0.01261973
683,0.00000000,0.00000000,0.01261973
684,0.00000000,0.00000000,0.01261973
685,0.33333333,0.00420658,0.01261973
686,0.33333333,0.00420658,0.01261973
687,0.33333333,0.00420658,0.01261973
688,0.00000000,0.00000000,0.01261973
689,0.00000000,0.00000000,0.01261973
690,0.00000000,0.00000000,0.01261973
691,0.25000000,0.00315493,0.01261973
692,0.25000000,0.00315493,0.01261973
693,0.00000000,0.00000000,0.01261973
694,0.04761905,0.00060094,0.01261973
695,0.14285714,0.00180282,0.01261973
696,0.04000000,0.00050479,0.01261973
